0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
여성,정책,연봉,자리,국민,세금,간부,초과,근무,세금,도둑,이해,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남자,가해자,세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정치권,언론,일부,페미니스트,기존,대표,사회,남성,자로,자신,도덕적,우위,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거리,십자,극렬,기독교인,고용,실질적,이익,불이익,가능성,교회,잘못,불신자,영적,신앙,근거,도덕적,우위,행동,무신론,잘못,이야기,화가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대학,지성인,사이,종교,관련,예수,예수,예수,가르침,교회,예수,보통,교회,예수,교회,예수,예수,칭찬,기분,예수,인물,평면적,도전적,저주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
예수,회개,도시,저주,진저,진저,신아,행하,회개,버나,하늘,음부,성시,도시,눈물,저주,선지자,파송,암탉,모음,그날,아이,여인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기독교인,예수,순간,한길,예수,나머지,가능성,차단,하나님,아들,희대,사기꾼,정신병자,이건,세인,한국인,처세,양심,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
예수,중요,예수,중요,동의,사가,지성,결론,예수,무관심,예수,예수,저주,여야,예수,칭찬,방구석,예수,마을,전도,기독교인,예수,예수,천하,만민,복음,전파,예수,명령,기독교인,지하철,예수,천국,불신,지옥,방식,동의,비난,예수,유익,전도,사이비,세련,위선자,,,,,,,,,,,,,,,,,,
기독교,이입,공감,부류,고등,학교,졸업,코로나,대면,세인,고민,고민,기독교,예수,구약,히브리,메시야,신앙,인류,억압,구원자,신앙,관련,그리스,도의,십자가,부활,인류,사상,종교적,세속,권력,영향,고민,양심적,의무,고민,예수,양반,보수적,기독교인,입장,고민,가보,감사,,,,,,,,,,,,,,,,,
여자,국방,의무,차원,배제,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우리나라,공식적,입장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사회,군대,보이스,선진,병영,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
열등감,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원래,군대,별거,거리,선임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
교인,기독교,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
학벌,블라인드,할거,학점,블라인드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이상,꼰대,주장,강요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
