,noun
1092,사람
1093,명도
1094,와인
1095,보통
1096,남자
1097,와인
1098,사람
1099,대부분
1100,머리
1101,또래
1102,수준
1103,정도
1104,벌이
1105,사람
1106,예비
1107,내정
1108,후자
1109,자신
1110,젊음
1111,번화가
1112,여자
1113,도서관
1114,사용
1115,상당
1116,피해
1117,의식
1118,소수
1119,현상
1120,마음
1121,결론
1122,남자
1123,와인
1124,대부분
1125,막걸리
1126,여자
1127,센스
1128,호감
1129,정도
1130,외모
1131,정도
1132,자기
1133,관리
1134,결여
1135,외적
1136,능력
1137,지뢰
1138,설치
1139,나중
1140,여자
1141,친구
1142,남자
1143,결혼
1144,여자
1145,여권
1146,운동
1147,남자
1148,윤리
1149,도덕
1150,퇴폐
1151,문화
1152,척결
1153,운동
1154,여자
1155,남자
1156,한데
1157,학식
1158,후기
1159,여자
1160,친구
1161,한번
1162,여자
1163,나이
1164,능력
1165,남자
1166,결혼
1167,아이
1168,여자
1169,남자
1170,난리
1171,부르스
1172,상관
1173,남자
1174,사회
1175,근대
1176,시대
1177,백인
1178,여성
1179,흑인
1180,남성
1181,여자
1182,결혼
1183,여자
1184,순간
1185,이상
1186,쭉정이
1187,다도
1188,미혼
1189,아줌마
1190,말년
1191,여자
1192,해병
1193,대가면
1194,쓰레기
1195,가나
1196,학교
1197,커뮤니티
1198,거리
1199,대추나무
1200,기혼
1201,여자
1202,불편
1203,경력
1204,단절
1205,순위
1206,페미니즘
1207,문제
1208,하나
1209,인간
1210,이상적
1211,직장
1212,생활
1213,여성
1214,안중
1215,여성
1216,존재
1217,가부
1218,장제
1219,세뇌
1220,여성
1221,기혼
1222,여성
1223,퍼센트
1224,남편
1225,경제력
1226,필요성
1227,남자
1228,수가
1229,학번
1230,흑사병
1231,동안
1232,서울
1233,구경
1234,여자
1235,건설
1236,노동
1237,중단
1238,이유
1239,고추
1240,장아찌
1241,생강
1242,모어
1243,시간표
1244,잔디
1245,학벌
1246,주의
1247,성적
1248,주의
1249,사회
1250,조장
1251,풍조
1252,슬로건
1253,검찰
1254,지망생
1255,나부랭이
1256,밥그릇
1257,안간힘
1258,공부
1259,의무
1260,심리
1261,클래스
1262,세후
1263,커리어
1264,커리어
1265,의사
1266,미만
1267,잡이
1268,의사
1269,물귀신
1270,작전
1271,페미니즘
1272,몰입
1273,범죄
1274,성범죄
1275,경찰
1276,수사권
1277,독식
1278,여성
1279,긍정적
1280,일진
1281,세계
1282,최초
1283,정치인
1284,부패
1285,범죄율
1286,만약
1287,민주당
1288,중국
1289,속국
1290,주장
1291,수완
1292,인간
1293,한국인
1294,조선족
1295,나라
1296,실시간
1297,모습
1298,불안
1299,범죄
1300,천국
1301,정치인
1302,범죄
1303,행각
1304,조사
1305,걱정
1306,물리
1307,멸망
1308,시발
1309,제대
1310,수저
1311,영어
1312,입결
1313,사철
1314,상경
1315,의대
1316,최고
1317,공통
1318,이성
1319,완벽
1320,시간
1321,동안
1322,가능
1323,축제
1324,분위기
1325,분위기
1326,페미니즘
1327,현혹
1328,모든
1329,남자
1330,아버지
1331,폭력적
1332,성향
1333,증오
1334,어머니
1335,피해자
1336,어머니
1337,행복
