0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
지하철,노인,공공,복지,실패,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노인,무임승차,교통,지하철,안내,라니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이하,코로나,치명률,이상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진보,대학생,말투,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
접종,자가,나이,접종,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남자,본적,아재,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아재,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
여성,임신,여부,확인,불가,남성,남성,한번,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시절,차이,오력,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
코로나,비운,학번,극복,대학,생활,시작,하려,학번,모름,저주,세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
휴학,진지,추천,대면,오피셜,복학,난이도,문단,선배,군진,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
네이버,꼰대,공개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양심적,병역,기피,급식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
라면,노인,차별,안됨,노인,불편,당장,대선,정국,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
병원,가능성,노인,실효성,항체,바이러스,항체,바이러스,변이,상태,감염,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
추행,성폭행,표정,지지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
드라마,영화,부패,검사,정치인,검열,정치인,거품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
선량,정치인,매체,부패,사회악,이미지,상황,거지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
법적,자문,변호사,도움,이상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정신,승리,학년,나이,신경,제정신,살길,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이젠,후반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
말자,정병,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
젊은이,오력,부족,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안심,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
딱딱이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
꼰대,선비,취업,시장,하세,시간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마인드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
